Concatenated,Year,Month,Reg,X5,Code,Trust,Indicator,value,Description
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A31,1319,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A32,2808,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A33,217735289,Response times - C3 - Response times - Total (hours)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A34,2912,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A35,6794,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A36,28403391,Response times - C4 - Response times - Total (hours)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A37,4675,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18SEPTEMBERENG,2017-18,SEPTEMBER,ENG,NA,ENG,NA,A38,9895,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A24,13183720,Response times - C1 - Response times - Total (hours)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A25,475,Response times - C1 - Response times - Mean (min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A26,823,Response times - C1 - Response times - 90th centile (min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A27,15146045,Response times - C1T - Response times - Total (hours)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A28,765,Response times - C1T - Response times - Mean (min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A29,1506,Response times - C1T - Response times - 90th centile (min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A30,202816486,Response times - C2 - Response times - Total (hours)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A31,1316,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A32,2802,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A33,224828822,Response times - C3 - Response times - Total (hours)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A34,2690,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A35,6277,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A36,30537984,Response times - C4 - Response times - Total (hours)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A37,4111,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18OCTOBERENG,2017-18,OCTOBER,ENG,NA,ENG,NA,A38,9071,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A24,24045596,Response times - C1 - Response times - Total (hours)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A25,477,Response times - C1 - Response times - Mean (min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A26,828,Response times - C1 - Response times - 90th centile (min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A27,28136184,Response times - C1T - Response times - Total (hours)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A28,791,Response times - C1T - Response times - Mean (min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A29,1509,Response times - C1T - Response times - 90th centile (min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A30,394440719,Response times - C2 - Response times - Total (hours)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A31,1365,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A32,2864,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A33,469439534,Response times - C3 - Response times - Total (hours)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A34,3251,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A35,7618,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A36,83463337,Response times - C4 - Response times - Total (hours)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A37,4829,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18NOVEMBERENG,2017-18,NOVEMBER,ENG,NA,ENG,NA,A38,10939,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A24,33766080,Response times - C1 - Response times - Total (hours)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A25,532,Response times - C1 - Response times - Mean (min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A26,924,Response times - C1 - Response times - 90th centile (min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A27,37335863,Response times - C1T - Response times - Total (hours)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A28,866,Response times - C1T - Response times - Mean (min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A29,1644,Response times - C1T - Response times - 90th centile (min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A30,700432478,Response times - C2 - Response times - Total (hours)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A31,1776,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A32,3779,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A33,850077955,Response times - C3 - Response times - Total (hours)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A34,4741,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A35,11208,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A36,125586980,Response times - C4 - Response times - Total (hours)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A37,6402,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18DECEMBERENG,2017-18,DECEMBER,ENG,NA,ENG,NA,A38,14929,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A24,30034837,Response times - C1 - Response times - Total (hours)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A25,499,Response times - C1 - Response times - Mean (min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A26,869,Response times - C1 - Response times - 90th centile (min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A27,33694074,Response times - C1T - Response times - Total (hours)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A28,829,Response times - C1T - Response times - Mean (min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A29,1566,Response times - C1T - Response times - 90th centile (min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A30,583552937,Response times - C2 - Response times - Total (hours)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A31,1564,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A32,3333,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A33,673175414,Response times - C3 - Response times - Total (hours)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A34,3782,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A35,8897,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A36,105066910,Response times - C4 - Response times - Total (hours)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A37,5247,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18JANUARYENG,2017-18,JANUARY,ENG,NA,ENG,NA,A38,11761,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A24,26222888,Response times - C1 - Response times - Total (hours)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A25,497,Response times - C1 - Response times - Mean (min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A26,857,Response times - C1 - Response times - 90th centile (min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A27,29741164,Response times - C1T - Response times - Total (hours)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A28,825,Response times - C1T - Response times - Mean (min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A29,1571,Response times - C1T - Response times - 90th centile (min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A30,503886913,Response times - C2 - Response times - Total (hours)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A31,1535,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A32,3238,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A33,669081762,Response times - C3 - Response times - Total (hours)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A34,4118,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A35,9695,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A36,98492024,Response times - C4 - Response times - Total (hours)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A37,5617,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18FEBRUARYENG,2017-18,FEBRUARY,ENG,NA,ENG,NA,A38,12590,Response times - C4 - Response times - 90th centile (hour: min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A24,30323652,Response times - C1 - Response times - Total (hours)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A25,515,Response times - C1 - Response times - Mean (min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A26,896,Response times - C1 - Response times - 90th centile (min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A27,33814371,Response times - C1T - Response times - Total (hours)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A28,847,Response times - C1T - Response times - Mean (min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A29,1593,Response times - C1T - Response times - 90th centile (min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A30,617927136,Response times - C2 - Response times - Total (hours)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A31,1664,Response times - C2 - Response times - Mean (hour: min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A32,3557,Response times - C2 - Response times - 90th centile (hour: min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A33,779196279,Response times - C3 - Response times - Total (hours)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A34,4514,Response times - C3 - Response times - Mean (hour: min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A35,10776,Response times - C3 - Response times - 90th centile (hour: min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A36,107618386,Response times - C4 - Response times - Total (hours)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A37,5853,Response times - C4 - Response times - Mean (hour: min:sec)
2017-18MARCHENG,2017-18,MARCH,ENG,NA,ENG,NA,A38,13042,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A24,24816830,Response times - C1 - Response times - Total (hours)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A25,457,Response times - C1 - Response times - Mean (min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A26,804,Response times - C1 - Response times - 90th centile (min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A27,26951506,Response times - C1T - Response times - Total (hours)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A28,726,Response times - C1T - Response times - Mean (min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A29,1332,Response times - C1T - Response times - 90th centile (min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A30,409603965,Response times - C2 - Response times - Total (hours)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A31,1209,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A32,2484,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A33,521583182,Response times - C3 - Response times - Total (hours)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A34,2951,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A35,6890,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A36,80079083,Response times - C4 - Response times - Total (hours)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A37,4545,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19APRILENG,2018-19,APRIL,ENG,NA,ENG,NA,A38,10168,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A24,26967358,Response times - C1 - Response times - Total (hours)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A25,464,Response times - C1 - Response times - Mean (min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A26,811,Response times - C1 - Response times - 90th centile (min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A27,29720270,Response times - C1T - Response times - Total (hours)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A28,746,Response times - C1T - Response times - Mean (min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A29,1384,Response times - C1T - Response times - 90th centile (min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A30,456177861,Response times - C2 - Response times - Total (hours)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A31,1271,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A32,2623,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A33,637218823,Response times - C3 - Response times - Total (hours)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A34,3453,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A35,8111,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A36,95337958,Response times - C4 - Response times - Total (hours)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A37,5290,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19MAYENG,2018-19,MAY,ENG,NA,ENG,NA,A38,11938,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A24,25743281,Response times - C1 - Response times - Total (hours)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A25,456,Response times - C1 - Response times - Mean (min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A26,798,Response times - C1 - Response times - 90th centile (min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A27,28327136,Response times - C1T - Response times - Total (hours)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A28,735,Response times - C1T - Response times - Mean (min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A29,1356,Response times - C1T - Response times - 90th centile (min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A30,449103413,Response times - C2 - Response times - Total (hours)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A31,1290,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A32,2656,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A33,632134728,Response times - C3 - Response times - Total (hours)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A34,3576,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A35,8381,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A36,86080242,Response times - C4 - Response times - Total (hours)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A37,5481,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19JUNEENG,2018-19,JUNE,ENG,NA,ENG,NA,A38,12251,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A24,26399606,Response times - C1 - Response times - Total (hours)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A25,448,Response times - C1 - Response times - Mean (min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A26,783,Response times - C1 - Response times - 90th centile (min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A27,28725290,Response times - C1T - Response times - Total (hours)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A28,720,Response times - C1T - Response times - Mean (min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A29,1349,Response times - C1T - Response times - 90th centile (min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A30,501828056,Response times - C2 - Response times - Total (hours)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A31,1353,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A32,2811,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A33,716857028,Response times - C3 - Response times - Total (hours)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A34,3969,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A35,9439,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A36,79987245,Response times - C4 - Response times - Total (hours)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A37,5754,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19JULYENG,2018-19,JULY,ENG,NA,ENG,NA,A38,12809,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A24,22795588,Response times - C1 - Response times - Total (hours)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A25,428,Response times - C1 - Response times - Mean (min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A26,754,Response times - C1 - Response times - 90th centile (min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A27,24385638,Response times - C1T - Response times - Total (hours)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A28,680,Response times - C1T - Response times - Mean (min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A29,1283,Response times - C1T - Response times - 90th centile (min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A30,438161398,Response times - C2 - Response times - Total (hours)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A31,1237,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A32,2540,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A33,595201233,Response times - C3 - Response times - Total (hours)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A34,3409,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A35,8020,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A36,65527252,Response times - C4 - Response times - Total (hours)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A37,4922,Response times - C4 - Response times - Mean (hour: min:sec)
2018-19AUGUSTENG,2018-19,AUGUST,ENG,NA,ENG,NA,A38,11123,Response times - C4 - Response times - 90th centile (hour: min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A24,22679273,Response times - C1 - Response times - Total (hours)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A25,431,Response times - C1 - Response times - Mean (min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A26,754,Response times - C1 - Response times - 90th centile (min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A27,24278800,Response times - C1T - Response times - Total (hours)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A28,682,Response times - C1T - Response times - Mean (min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A29,1289,Response times - C1T - Response times - 90th centile (min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A30,462617916,Response times - C2 - Response times - Total (hours)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A31,1296,Response times - C2 - Response times - Mean (hour: min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A32,2655,Response times - C2 - Response times - 90th centile (hour: min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A33,622882666,Response times - C3 - Response times - Total (hours)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A34,3714,Response times - C3 - Response times - Mean (hour: min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A35,8713,Response times - C3 - Response times - 90th centile (hour: min:sec)
2018-19SEPTEMBERENG,2018-19,SEPTEMBER,ENG,NA,ENG,NA,A36,65146894,Response times - C4 - Response times - Total (hours)
